,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,AV Latitude
157,Mushie,0,CD,1543246874,69,-3.02,16.92,85.61,2.59,3.02
158,Iqaluit,80,CA,1543246876,100,63.75,-68.52,21.22,9.19,63.75
159,Pangai,0,TO,1543246877,100,-19.8,-174.35,79.27,11.43,19.8
160,Shenzhen,0,CN,1543246599,99,22.54,114.05,59.15,4.16,22.54
161,Zhezkazgan,80,KZ,1543246879,76,47.8,67.71,14.15,7.85,47.8
162,Georgetown,88,GY,1543246826,72,6.8,-58.16,84.98,9.98,6.8
163,Codrington,0,AU,1543246882,84,-28.95,153.24,57.53,1.7,28.95
164,Los Andes,0,CL,1543246883,63,-32.83,-70.6,66.89,2.59,32.83
165,Volodarsk,92,UA,1543246884,95,48.13,39.59,30.35,7.4,48.13
166,Fortuna,80,ES,1543246851,49,38.18,-1.13,55.37,16.8,38.18
167,Saint George,24,GR,1543246887,80,39.45,22.34,57.67,9.42,39.45
168,Poum,88,MK,1543246888,98,41.28,20.71,44.93,2.26,41.28
169,Severodvinsk,32,RU,1543246889,100,64.56,39.82,24.37,10.87,64.56
170,Mao,68,DO,1543246665,91,19.55,-71.08,78.64,5.73,19.55
171,Zhanaozen,36,KZ,1543246892,80,43.35,52.85,27.34,2.26,43.35
172,Folldal,12,NO,1543246893,45,62.14,10.0,-3.31,3.49,62.14
173,Calama,0,CL,1543246894,35,-22.46,-68.93,66.98,3.94,22.46
174,Yaan,0,NG,1543246895,32,7.38,8.57,98.44,4.38,7.38
175,Kijang,0,KR,1543246896,79,35.24,129.21,27.79,2.15,35.24
176,Necochea,48,AR,1543246648,73,-38.55,-58.74,72.83,8.08,38.55
177,Panjab,32,AF,1543246898,64,34.38,67.02,28.1,5.39,34.38
178,Sao Filipe,0,CV,1543246900,87,14.9,-24.5,77.6,14.79,14.9
179,Klaksvik,80,FO,1543246901,100,62.23,-6.59,39.04,9.53,62.23
180,Mayo,48,CA,1543246903,78,63.59,-135.9,16.31,7.18,63.59
181,Killybegs,20,IE,1543246904,100,54.63,-8.45,43.54,12.21,54.63
182,Sorong,36,ID,1543246906,100,-0.86,131.25,83.72,4.38,0.86
183,Preobrazheniye,0,RU,1543246907,86,42.9,133.91,38.99,4.61,42.9
184,New Norfolk,80,AU,1543246908,100,-42.78,147.06,51.59,2.59,42.78
185,Dingle,0,PH,1543246909,82,11.0,122.67,77.33,10.65,11.0
186,Vao,32,EE,1543246910,95,59.1,26.19,30.04,4.94,59.1
187,Northam,36,GB,1543246912,95,51.04,-4.21,43.94,3.83,51.04
188,Buchanan,0,LR,1543246913,83,5.88,-10.05,85.97,6.62,5.88
189,Fereydunshahr,0,IR,1543246914,60,32.94,50.12,30.94,4.61,32.94
190,Kahului,8,US,1543246811,100,20.89,-156.47,68.15,5.17,20.89
191,Pevek,64,RU,1543246916,100,69.7,170.27,-13.3,2.59,69.7
192,Ponta Delgada,88,PT,1543246917,99,37.73,-25.67,64.6,24.74,37.73
193,Lere,8,TD,1543246919,22,9.66,14.23,98.12,7.07,9.66
194,Kamaishi,0,JP,1543246920,83,39.28,141.86,31.84,4.72,39.28
195,Chara,24,GR,1543246921,80,39.42,22.43,57.67,9.42,39.42
196,Kurilsk,12,RU,1543246922,100,45.23,147.88,40.61,14.34,45.23
197,Hualmay,24,PE,1543246924,71,-11.1,-77.61,69.37,5.28,11.1
198,Kavieng,80,PG,1543246925,100,-2.57,150.8,84.67,9.98,2.57
199,Maningrida,36,AU,1543246926,80,-12.05,134.23,86.65,14.67,12.05
200,Nyurba,8,RU,1543246927,67,63.29,118.35,-35.76,2.71,63.29
201,Mocuba,48,MZ,1543246928,79,-16.84,36.99,79.27,5.61,16.84
202,Tromso,64,NO,1543246930,89,69.65,18.96,26.84,4.94,69.65
203,Huanan,20,CN,1543246931,57,46.24,130.56,38.99,16.58,46.24
204,Tikhvin,80,RU,1543246932,87,59.64,33.53,23.2,4.16,59.64
205,Qaqortoq,0,GL,1543246933,86,60.72,-46.03,31.12,5.84,60.72
206,Pemba,0,MZ,1543246935,100,-12.97,40.52,81.2,7.63,12.97
207,Ostrovnoy,76,RU,1543246936,92,68.05,39.51,16.99,7.29,68.05
208,Saldanha,0,PT,1543246937,77,41.42,-6.55,49.7,7.96,41.42
209,Inhambane,12,MZ,1543246708,72,-23.87,35.38,83.32,13.78,23.87
210,Port Hedland,0,AU,1543246939,79,-20.31,118.58,72.38,10.09,20.31
211,Geraldton,88,CA,1543246941,75,49.72,-86.95,16.22,7.29,49.72
212,Puri,80,ID,1543246942,94,-7.54,112.45,71.89,2.59,7.54
213,Shelburne,92,CA,1543246943,100,44.08,-80.2,34.4,17.92,44.08
214,Sukumo,80,JP,1543246944,87,32.94,132.72,54.34,3.15,32.94
215,Kroya,36,ID,1543246945,89,-6.5,108.06,74.72,3.38,6.5
216,Ngunguru,100,NZ,1543246947,98,-35.62,174.5,63.29,11.21,35.62
217,Riyadh,0,SA,1543246948,60,24.63,46.72,61.72,7.96,24.63
218,Yueyang,0,CN,1543246949,87,29.36,113.12,43.94,3.27,29.36
219,Bud,76,NO,1543246950,100,62.91,6.91,35.12,1.36,62.91
220,Coahuayana,0,MX,1543246951,47,18.62,-100.35,71.66,2.93,18.62
221,Greytown,36,ZA,1543246953,49,-29.06,30.59,81.02,2.93,29.06
222,Kupang,92,ID,1543246954,100,-10.16,123.6,79.9,4.83,10.16
223,Tres Arroyos,20,AR,1543246955,76,-38.38,-60.28,74.59,4.61,38.38
224,Buala,68,SB,1543246956,100,-8.15,159.59,77.65,2.71,8.15
225,Lebanon,92,US,1543246958,100,43.64,-72.25,31.88,2.93,43.64
226,Innisfail,56,CA,1543246959,92,52.02,-113.95,15.32,5.73,52.02
227,Namatanai,48,PG,1543246960,100,-3.66,152.44,82.64,11.43,3.66
228,Wanning,92,AT,1543246961,99,48.64,13.53,33.23,4.94,48.64
229,Nemuro,0,JP,1543246962,100,43.32,145.57,46.28,18.7,43.32
230,Troitskoye,80,RU,1543246964,89,52.98,84.68,19.55,4.05,52.98
231,Chuy,64,UY,1543246965,79,-33.69,-53.46,73.55,7.74,33.69
232,Bethel,92,US,1543246918,87,60.79,-161.76,19.37,10.09,60.79
233,Arlit,36,NE,1543246968,20,18.74,7.39,89.48,4.61,18.74
234,Aklavik,20,CA,1543246969,73,68.22,-135.01,-11.05,7.4,68.22
235,Florianopolis,8,BR,1543246970,82,-27.6,-48.55,72.83,6.06,27.6
236,Kodiak,0,US,1543246971,80,39.95,-94.76,11.95,9.86,39.95
237,Nouadhibou,8,MR,1543246972,47,20.93,-17.03,79.58,8.75,20.93
238,Talnakh,64,RU,1543246974,92,69.49,88.39,-11.32,3.15,69.49
239,Kloulklubed,76,PW,1543246975,100,7.04,134.26,82.6,5.84,7.04
240,Petropavlovsk-Kamchatskiy,20,RU,1543246976,100,53.05,158.65,23.29,16.69,53.05
241,Novi Ligure,48,IT,1543246978,99,44.76,8.79,48.04,1.92,44.76
242,Khatanga,0,RU,1543246979,36,71.98,102.47,-23.79,12.21,71.98
243,Hasaki,48,JP,1543246981,100,35.73,140.83,62.93,9.64,35.73
244,Hamilton,92,CA,1543246742,100,43.26,-79.87,39.94,17.47,43.26
245,Aleksandrov Gay,68,RU,1543246983,83,50.14,48.57,25.72,9.53,50.14
246,Liberia,64,CR,1543246984,91,10.63,-85.44,76.12,3.27,10.63
247,Quatre Cocos,92,MU,1543246985,97,-20.21,57.76,73.55,9.31,20.21
248,Kaitangata,24,NZ,1543246987,87,-46.28,169.85,48.8,18.59,46.28
249,Merauke,20,ID,1543246988,96,-8.49,140.4,80.66,4.72,8.49
250,Cabinda,20,AO,1543246989,99,-5.56,12.19,79.99,10.42,5.56
251,Talara,88,PE,1543246990,82,-4.58,-81.27,70.67,5.61,4.58
252,San Patricio,36,PY,1543246991,68,-26.98,-56.83,81.7,3.27,26.98
253,Los Llanos de Aridane,68,ES,1543246992,100,28.66,-17.92,68.47,6.4,28.66
254,Sinnamary,92,GF,1543246994,100,5.38,-52.96,79.4,11.21,5.38
255,Mehran,0,IR,1543246995,97,33.12,46.17,55.46,2.93,33.12
256,Yeppoon,0,AU,1543246996,59,-23.13,150.74,72.79,3.94,23.13
257,Port Keats,20,AU,1543246997,89,-14.25,129.55,82.73,9.75,14.25
258,Walvis Bay,0,NA,1543246998,100,-22.95,14.51,63.07,12.77,22.95
259,Soe,88,EE,1543247000,94,57.91,26.05,30.98,12.66,57.91
260,Portland,92,US,1543246847,92,45.52,-122.67,39.62,3.94,45.52
261,Severnoye,76,RU,1543247002,89,54.09,52.54,19.1,6.17,54.09
262,Isangel,20,VU,1543247003,96,-19.55,169.27,80.03,17.25,19.55
263,Sitka,0,US,1543247004,73,37.17,-99.65,26.44,11.77,37.17
264,Tuatapere,32,NZ,1543247006,100,-46.13,167.69,51.1,5.84,46.13
265,Bereda,8,ES,1543247007,77,43.27,-7.54,49.39,3.83,43.27
266,Atar,88,MR,1543247008,20,20.52,-13.05,83.32,10.2,20.52
267,ChengDe,0,CN,1543247009,52,40.97,117.93,19.1,4.61,40.97
268,Ancud,12,CL,1543247011,67,-41.87,-73.83,59.15,5.95,41.87
269,Faya,24,SA,1543247012,53,18.39,42.45,65.5,3.38,18.39
270,Rognan,80,NO,1543247013,100,67.1,15.4,21.04,3.15,67.1
271,Ixtapa,0,MX,1543247014,66,20.71,-105.21,64.73,2.15,20.71
272,Zatoka,92,PL,1543247016,100,50.04,20.52,32.92,10.42,50.04
273,Redlands,0,US,1543246939,64,34.06,-117.19,27.52,1.92,34.06
274,Amahai,8,ID,1543247018,100,-3.31,129.0,84.71,3.15,3.31
275,Diapaga,8,BF,1543247020,22,12.07,1.79,93.98,10.98,12.07
276,Jeremie,0,HT,1543247021,96,18.65,-74.12,81.79,3.27,18.65
277,Praia,56,BR,1543247022,80,-20.25,-43.81,72.38,4.61,20.25
278,Mosquera,92,CO,1543247023,94,4.71,-74.23,64.46,0.92,4.71
279,Redmond,92,US,1543246986,100,47.67,-122.12,40.88,5.39,47.67
280,Port Lincoln,76,AU,1543247026,100,-34.72,135.86,57.53,5.84,34.72
281,Taraz,76,KZ,1543247027,71,42.89,71.39,30.98,2.71,42.89
282,Parrita,12,CR,1543247028,100,9.52,-84.33,77.74,4.38,9.52
283,Tongliao,0,CN,1543247029,33,43.61,122.27,29.27,12.1,43.61
284,Winslow,76,GB,1543246857,86,51.94,-0.88,44.03,8.3,51.94
285,Rio Gallegos,80,AR,1543247032,65,-51.62,-69.22,55.91,26.75,51.62
286,Gat,92,SN,1543247033,36,14.69,-16.54,89.57,10.2,14.69
287,Okhotsk,0,RU,1543247034,100,59.36,143.24,3.67,5.84,59.36
288,Constitucion,80,MX,1543247035,91,23.99,-104.67,42.41,4.05,23.99
289,Broken Hill,88,AU,1543247036,65,-31.97,141.45,63.47,3.15,31.97
290,Tirat Karmel,0,IL,1543247038,100,32.76,34.97,70.04,3.71,32.76
291,Villa Carlos Paz,92,AR,1543247039,100,-31.42,-64.5,57.22,7.96,31.42
292,Aquiraz,0,BR,1543247040,49,-3.9,-38.39,93.26,15.35,3.9
293,Laguna,44,MX,1543247041,76,27.52,-110.01,57.4,2.37,27.52
294,Manzil Salim,32,TN,1543247043,66,35.86,8.48,62.3,12.44,35.86
295,Cabedelo,68,BR,1543247044,91,-6.97,-34.84,81.65,16.13,6.97
296,Victoria,8,BN,1543247045,100,5.28,115.24,84.26,7.07,5.28
297,Olinda,88,EC,1543247047,76,-2.03,-79.75,78.59,4.5,2.03
298,Det Udom,76,TH,1543247048,76,14.9,105.08,72.38,13.67,14.9
299,Kungurtug,24,RU,1543247049,64,50.6,97.53,-4.48,3.6,50.6
300,Valdivia,0,CL,1543247050,68,-39.81,-73.25,60.95,8.86,39.81
301,Templin,0,DE,1543247051,94,53.12,13.5,33.23,8.86,53.12
302,Kondinskoye,92,RU,1543247053,84,59.65,67.41,7.4,5.17,59.65
303,Manaus,92,BR,1543247054,100,-3.13,-59.98,77.51,5.17,3.13
304,Lander,0,US,1543247055,45,42.83,-108.73,-1.47,3.6,42.83
305,Nikolskoye,32,RU,1543247056,80,59.7,30.79,20.99,3.15,59.7
306,Mitsamiouli,68,KM,1543247057,92,-11.38,43.28,81.92,3.49,11.38
307,Pilar,64,AR,1543247059,51,-34.46,-58.91,81.2,6.73,34.46
308,Port Blair,80,IN,1543247060,100,11.67,92.75,83.59,11.88,11.67
309,Beboto,32,TD,1543247061,25,8.27,16.94,94.88,9.75,8.27
310,Marsa Matruh,92,EG,1543247062,41,31.35,27.25,68.92,5.61,31.35
311,Lompoc,0,US,1543247063,100,34.64,-120.46,47.45,5.73,34.64
312,Udachnyy,56,RU,1543247064,67,66.42,112.4,-23.38,2.59,66.42
313,Braintree,92,GB,1543247066,100,51.88,0.55,44.89,8.52,51.88
314,Yar-Sale,12,RU,1543247067,74,66.83,70.83,-16.81,3.94,66.83
315,Ulladulla,88,AU,1543247068,100,-35.36,150.48,62.89,3.94,35.36
316,Grand-Santi,88,GF,1543247069,78,4.27,-54.38,82.24,4.5,4.27
317,Chatellerault,68,FR,1543247070,98,46.8,0.53,43.72,9.75,46.8
318,Yagodnoye,44,RU,1543247072,61,62.52,149.63,-22.84,0.92,62.52
319,Sur,0,OM,1543247073,93,22.57,59.53,79.31,8.86,22.57
320,Wajid,68,SO,1543247074,68,3.81,43.25,79.04,3.83,3.81
321,Provideniya,64,RU,1543247075,100,64.42,-173.23,21.04,24.85,64.42
322,Muyezerskiy,76,RU,1543247076,89,63.93,31.65,16.67,4.38,63.93
323,Yabrud,88,SY,1543247077,89,33.97,36.66,48.85,1.03,33.97
324,Waingapu,68,ID,1543247079,100,-9.65,120.26,73.69,1.59,9.65
325,Tiksi,44,RU,1543247080,35,71.64,128.87,-23.61,3.71,71.64
326,Borogontsy,8,RU,1543247081,66,62.67,131.17,-35.53,3.15,62.67
327,Puerto Narino,88,CO,1543247082,90,-3.77,-70.38,81.52,3.71,3.77
328,Leningradskiy,80,RU,1543247083,100,69.38,178.42,8.62,17.92,69.38
329,Harur,0,IN,1543247085,80,12.06,78.48,69.5,5.28,12.06
330,Bilibino,20,RU,1543247086,0,68.06,166.44,-36.84,1.92,68.06
331,Hwange,36,ZW,1543247087,25,-18.35,26.5,93.35,5.73,18.35
332,Tiznit,0,MA,1543247088,82,29.7,-9.73,66.4,6.29,29.7
333,Belomorsk,8,RU,1543247090,100,64.52,34.76,20.72,8.52,64.52
334,Camocim,24,BR,1543247091,61,-2.9,-40.84,89.93,12.66,2.9
335,Norrtalje,32,SE,1543247092,100,59.76,18.7,32.02,8.63,59.76
